CustomerID,Lookalikes
C0001,"[('C0048', 0.9993), ('C0055', 0.9993), ('C0072', 0.9992)]"
C0002,"[('C0029', 1.0), ('C0010', 0.9984), ('C0133', 0.9962)]"
C0003,"[('C0166', 0.9966), ('C0160', 0.996), ('C0086', 0.9954)]"
C0004,"[('C0017', 0.9989), ('C0173', 0.9977), ('C0101', 0.9969)]"
C0005,"[('C0186', 0.9997), ('C0112', 0.9995), ('C0007', 0.9985)]"
C0006,"[('C0117', 0.9999), ('C0168', 0.9981), ('C0070', 0.9963)]"
C0007,"[('C0120', 0.9995), ('C0050', 0.9991), ('C0115', 0.9989)]"
C0008,"[('C0124', 0.9837), ('C0104', 0.9805), ('C0065', 0.9802)]"
C0009,"[('C0083', 0.9992), ('C0198', 0.9942), ('C0077', 0.9924)]"
C0010,"[('C0029', 0.9984), ('C0002', 0.9984), ('C0133', 0.9949)]"
C0011,"[('C0064', 0.9997), ('C0137', 0.9984), ('C0174', 0.9978)]"
C0012,"[('C0182', 0.9968), ('C0136', 0.9968), ('C0195', 0.9964)]"
C0013,"[('C0145', 0.999), ('C0099', 0.9973), ('C0053', 0.9971)]"
C0014,"[('C0060', 0.9998), ('C0097', 0.9993), ('C0151', 0.9979)]"
C0015,"[('C0123', 0.9997), ('C0063', 0.9993), ('C0032', 0.9928)]"
C0016,"[('C0183', 0.9986), ('C0107', 0.9984), ('C0056', 0.997)]"
C0017,"[('C0004', 0.9989), ('C0173', 0.9976), ('C0101', 0.996)]"
C0018,"[('C0171', 0.997), ('C0153', 0.9964), ('C0169', 0.9963)]"
C0019,"[('C0116', 0.999), ('C0047', 0.9957), ('C0118', 0.995)]"
C0020,"[('C0130', 0.999), ('C0095', 0.9915), ('C0140', 0.9883)]"
C0021,"[('C0173', 0.9981), ('C0122', 0.9978), ('C0155', 0.9978)]"
C0022,"[('C0067', 0.9991), ('C0108', 0.9975), ('C0053', 0.9972)]"
C0023,"[('C0126', 0.999), ('C0057', 0.9978), ('C0153', 0.997)]"
C0024,"[('C0194', 0.9999), ('C0090', 0.9985), ('C0047', 0.9984)]"
C0025,"[('C0031', 0.9978), ('C0178', 0.9952), ('C0166', 0.9943)]"
C0026,"[('C0048', 0.996), ('C0035', 0.9959), ('C0001', 0.9958)]"
C0027,"[('C0142', 0.9993), ('C0070', 0.999), ('C0193', 0.9989)]"
C0028,"[('C0045', 0.9958), ('C0188', 0.9951), ('C0102', 0.9943)]"
C0029,"[('C0002', 1.0), ('C0010', 0.9984), ('C0133', 0.9956)]"
C0030,"[('C0106', 0.9995), ('C0056', 0.9984), ('C0134', 0.9972)]"
C0031,"[('C0166', 0.9991), ('C0025', 0.9978), ('C0178', 0.9978)]"
C0032,"[('C0043', 0.9987), ('C0071', 0.996), ('C0015', 0.9928)]"
C0033,"[('C0058', 0.9992), ('C0150', 0.9991), ('C0198', 0.9906)]"
C0034,"[('C0134', 0.9966), ('C0067', 0.9944), ('C0111', 0.9941)]"
C0035,"[('C0146', 0.9984), ('C0199', 0.9984), ('C0192', 0.9976)]"
C0036,"[('C0131', 0.9995), ('C0167', 0.9993), ('C0071', 0.9987)]"
C0037,"[('C0170', 0.9987), ('C0182', 0.9967), ('C0100', 0.996)]"
C0038,"[('C0086', 1.0), ('C0160', 0.9996), ('C0189', 0.9986)]"
C0039,"[('C0105', 0.998), ('C0181', 0.9962), ('C0148', 0.9927)]"
C0040,"[('C0092', 0.9917), ('C0129', 0.9849), ('C0176', 0.9835)]"
C0041,"[('C0087', 0.9994), ('C0101', 0.9981), ('C0046', 0.9969)]"
C0042,"[('C0061', 0.9997), ('C0129', 0.996), ('C0092', 0.9921)]"
C0043,"[('C0071', 0.9993), ('C0032', 0.9987), ('C0131', 0.997)]"
C0044,"[('C0074', 0.9994), ('C0085', 0.9986), ('C0185', 0.9983)]"
C0045,"[('C0102', 0.9992), ('C0068', 0.9974), ('C0188', 0.9968)]"
C0046,"[('C0101', 0.9998), ('C0155', 0.9991), ('C0122', 0.9987)]"
C0047,"[('C0024', 0.9984), ('C0161', 0.9976), ('C0194', 0.9974)]"
C0048,"[('C0001', 0.9993), ('C0072', 0.9974), ('C0055', 0.9971)]"
C0049,"[('C0098', 0.9959), ('C0034', 0.9874), ('C0093', 0.9818)]"
C0050,"[('C0115', 1.0), ('C0007', 0.9991), ('C0120', 0.9982)]"
C0051,"[('C0105', 0.9965), ('C0102', 0.9948), ('C0188', 0.9929)]"
C0052,"[('C0159', 0.9978), ('C0166', 0.995), ('C0178', 0.9945)]"
C0053,"[('C0143', 0.9975), ('C0145', 0.9974), ('C0022', 0.9972)]"
C0054,"[('C0188', 0.9976), ('C0102', 0.9948), ('C0045', 0.9942)]"
C0055,"[('C0072', 0.9996), ('C0001', 0.9993), ('C0190', 0.9987)]"
C0056,"[('C0106', 0.9995), ('C0107', 0.9994), ('C0183', 0.9987)]"
C0057,"[('C0153', 0.9997), ('C0023', 0.9978), ('C0126', 0.9975)]"
C0058,"[('C0150', 0.9993), ('C0033', 0.9992), ('C0198', 0.9906)]"
C0059,"[('C0104', 0.9996), ('C0065', 0.9931), ('C0113', 0.9901)]"
C0060,"[('C0014', 0.9998), ('C0097', 0.9995), ('C0151', 0.9978)]"
C0061,"[('C0042', 0.9997), ('C0129', 0.9959), ('C0077', 0.9927)]"
C0062,"[('C0144', 0.9995), ('C0129', 0.9927), ('C0061', 0.9916)]"
C0063,"[('C0123', 0.9995), ('C0015', 0.9993), ('C0132', 0.9949)]"
C0064,"[('C0011', 0.9997), ('C0187', 0.9976), ('C0137', 0.9975)]"
C0065,"[('C0104', 0.9933), ('C0059', 0.9931), ('C0113', 0.9823)]"
C0066,"[('C0115', 0.9982), ('C0050', 0.9979), ('C0007', 0.9946)]"
C0067,"[('C0022', 0.9991), ('C0108', 0.9964), ('C0183', 0.9961)]"
C0068,"[('C0102', 0.9978), ('C0162', 0.9974), ('C0045', 0.9974)]"
C0069,"[('C0055', 0.9986), ('C0001', 0.9981), ('C0072', 0.9969)]"
C0070,"[('C0193', 0.9996), ('C0027', 0.999), ('C0135', 0.9985)]"
C0071,"[('C0043', 0.9993), ('C0131', 0.9988), ('C0036', 0.9987)]"
C0072,"[('C0190', 0.9997), ('C0055', 0.9996), ('C0001', 0.9992)]"
C0073,"[('C0036', 0.9982), ('C0167', 0.998), ('C0131', 0.9961)]"
C0074,"[('C0044', 0.9994), ('C0185', 0.9992), ('C0085', 0.9989)]"
C0075,"[('C0175', 0.9973), ('C0004', 0.9966), ('C0156', 0.9957)]"
C0076,"[('C0189', 0.9997), ('C0038', 0.9983), ('C0086', 0.9982)]"
C0077,"[('C0083', 0.9956), ('C0144', 0.993), ('C0061', 0.9927)]"
C0078,"[('C0015', 0.9919), ('C0123', 0.9913), ('C0063', 0.9889)]"
C0079,"[('C0158', 0.9962), ('C0037', 0.9954), ('C0170', 0.994)]"
C0080,"[('C0110', 0.9995), ('C0014', 0.9974), ('C0151', 0.9968)]"
C0081,"[('C0024', 0.9972), ('C0194', 0.9971), ('C0126', 0.9969)]"
C0082,"[('C0087', 0.9986), ('C0041', 0.9968), ('C0101', 0.9931)]"
C0083,"[('C0009', 0.9992), ('C0077', 0.9956), ('C0198', 0.9934)]"
C0084,"[('C0162', 0.9998), ('C0068', 0.9958), ('C0039', 0.9911)]"
C0085,"[('C0167', 0.9992), ('C0074', 0.9989), ('C0044', 0.9986)]"
C0086,"[('C0038', 1.0), ('C0160', 0.9996), ('C0189', 0.9986)]"
C0087,"[('C0041', 0.9994), ('C0082', 0.9986), ('C0101', 0.9978)]"
C0088,"[('C0030', 0.9965), ('C0103', 0.9961), ('C0002', 0.9956)]"
C0089,"[('C0159', 0.9932), ('C0052', 0.9911), ('C0110', 0.9797)]"
C0090,"[('C0194', 0.9989), ('C0024', 0.9985), ('C0122', 0.9981)]"
C0091,"[('C0039', 0.9925), ('C0190', 0.9901), ('C0181', 0.9882)]"
C0092,"[('C0129', 0.9981), ('C0176', 0.9966), ('C0133', 0.995)]"
C0093,"[('C0108', 0.997), ('C0145', 0.9966), ('C0099', 0.9964)]"
C0094,"[('C0121', 0.9995), ('C0142', 0.9945), ('C0177', 0.9935)]"
C0095,"[('C0140', 0.9985), ('C0186', 0.9919), ('C0020', 0.9915)]"
